Monday,"понедельник"
Tuesday,"вторник"
Wednesday,"среда"
Thursday,"четверг"
Friday,"пятница"
Saturday,"суббота"
Sunday,"воскресенье"
today,"сегодня"
tomorrow,"завтра"
the day after tomorrow,"послезавтра"
yesterday,"вчера"
the day before yesterday,"позавчера"
day,"день"
working day,"рабочий день"
public holiday,"праздничный день"
day off,"выходной день"
weekend,"выходные"
all day long,"весь день"
next day,"на следующий день"
two days ago,"2 дня назад"
the day before,"накануне"
daily,"ежедневно"
every day,"ежедневно"
week,"неделя"
last week,"на прошлой неделе"
next week,"на следующей неделе"
weekly,"еженедельный"
every week,"еженедельно"
twice a week,"2 раза в неделю"
every Tuesday,"каждый вторник"
morning,"утро"
in the morning,"утром"
midday,"полдень"
in the afternoon,"после обеда"
evening,"вечер"
in the evening,"вечером"
night,"ночь"
at night,"ночью"
midnight,"полночь"
second,"секунда"
minute,"минута"
hour,"час"
half an hour,"полчаса"
quarter of an hour,"четверть часа"
fifteen minutes,"15 минут"
twenty four hours,"сутки"
sunrise,"восход солнца"
dawn,"рассвет"
early morning,"раннее утро"
sunset,"закат"
early in the morning,"рано утром"
this morning,"сегодня утром"
tomorrow morning,"завтра утром"
this afternoon,"сегодня днем"
in the afternoon,"после обеда"
tomorrow afternoon,"завтра после обеда"
tonight,"сегодня вечером"
tomorrow night,"завтра вечером"
at 3 o'clock sharp,"ровно в 3 часа"
about 4 o'clock,"около 4-х часов"
by 12 o'clock,"к 12-ти часам"
in 20 minutes,"через 20 минут"
in an hour,"через час"
on time,"вовремя"
a quarter to,"без четверти"
within an hour,"в течение часа"
every 15 minutes,"каждые 15 минут"
round the clock,"круглые сутки"
January,"январь"
February,"февраль"
March,"март"
April,"апрель"
May,"май"
June,"июнь"
July,"июль"
August,"август"
September,"сентябрь"
October,"октябрь"
November,"ноябрь"
December,"декабрь"
spring,"весна, весенний"
in spring,"весной"
summer,"лето, летний"
in summer,"летом"
autumn,"осень, осенний"
in autumn,"осенью"
winter,"зима, зимний"
in winter,"зимой"
month,"месяц"
this month,"в этом месяце"
next month,"в следующем месяце"
last month,"в прошлом месяце"
a month ago,"месяц назад"
in a month,"через месяц"
in two months,"через 2 месяца"
a whole month,"весь месяц"
all month long,"целый месяц"
monthly,"ежемесячный, ежемесячно"
every month,"каждый месяц"
twice a month,"2 раза в месяц"
year,"год"
this year,"в этом году"
next year,"в следующем году"
last year,"в прошлом году"
a year ago,"год назад"
in a year,"через год"
in two years,"через 2 года"
a whole year,"весь год"
all year long,"целый год"
every year,"каждый год"
annual,"ежегодный"
annually,"ежегодно"
4 times a year,"4 раза в год"
date,"дата, число (день месяца)"
calendar,"календарь"
half a year,"полгода"
six months,"полугодие"
season,"сезон"
