food,"еда"
to eat,"кушать"
breakfast,"завтрак"
to have breakfast,"завтракать"
lunch,"обед"
to have lunch,"обедать"
dinner,"ужин"
to have dinner,"ужинать"
appetite,"аппетит"
Enjoy your meal!,"Приятного аппетита!"
to open,"открывать (банку и т.п.)"
to spill,"пролить"
to spill out,"пролиться"
to boil,"кипеть, кипятить"
boiled,"кипячёный"
to cool,"охладить"
to cool down,"охлаждаться"
flavor,"вкус"
aftertaste,"привкус"
to be on a diet,"худеть (быть на диете)"
diet,"диета"
vitamin,"витамин"
calorie,"калория"
vegetarian,"вегетарианец"
fats,"жиры"
proteins,"белки"
carbohydrates,"углеводы"
slice,"ломтик"
piece,"кусок"
crumb,"крошка (хлеба)"
spoon,"ложка"
knife,"нож"
fork,"вилка"
cup,"чашка"
plate,"тарелка"
saucer,"блюдце"
serviette,"салфетка"
toothpick,"зубочистка"
