rich,"богатый"
poor,"бедный"
ill,"больной"
healthy,"здоровый"
big,"большой"
small,"маленький"
quickly,"быстро"
slowly,"медленно"
fast,"быстрый"
slow,"медленный"
cheerful,"веселый"
sad,"грустный"
together,"вместе"
separately,"отдельно"
aloud,"вслух"
silently,"про себя"
tall,"высокий"
low,"низкий"
deep,"глубокий"
shallow,"мелкий"
yes,"да"
no,"нет"
distant,"далекий"
nearby,"близкий"
far,"далеко"
nearby,"рядом"
long,"длинный"
short,"короткий"
good,"добрый"
evil,"злой"
married,"женатый"
single,"холостой"
to forbid,"запретить"
to permit,"разрешить"
end,"конец"
beginning,"начало"
left,"левый"
right,"правый"
first,"первый"
last,"последний"
crime,"преступление"
punishment,"наказание"
to order,"приказать"
to obey,"подчиниться"
straight,"прямой"
curved,"кривой"
heaven,"рай"
hell,"ад"
to be born,"родиться"
to die,"умереть"
strong,"сильный"
weak,"слабый"
old,"старый"
young,"молодой"
new,"новый"
hard,"твердый"
soft,"мягкий"
warm,"теплый"
cold,"холодный"
fat,"толстый"
slim,"худой"
narrow,"узкий"
wide,"широкий"
good,"хороший"
bad,"плохой"
brave,"храбрый"
cowardly,"трусливый"
