bird,"птица"
pigeon,"голубь"
sparrow,"воробей"
tit,"синица"
magpie,"сорока"
raven,"ворон"
crow,"ворона"
jackdaw,"галка"
rook,"грач"
duck,"утка"
goose,"гусь"
pheasant,"фазан"
eagle,"орёл"
hawk,"ястреб"
falcon,"сокол"
vulture,"гриф"
condor,"кондор"
swan,"лебедь"
crane,"журавль"
stork,"аист"
parrot,"попугай"
hummingbird,"колибри"
peacock,"павлин"
ostrich,"страус"
heron,"цапля"
flamingo,"фламинго"
pelican,"пеликан"
nightingale,"соловей"
swallow,"ласточка"
thrush,"дрозд"
song thrush,"певчий дрозд"
blackbird,"чёрный дрозд"
swift,"стриж"
lark,"жаворонок"
quail,"перепел"
woodpecker,"дятел"
cuckoo,"кукушка"
owl,"сова"
eagle owl,"филин"
wood grouse,"глухарь"
black grouse,"тетерев"
partridge,"куропатка"
starling,"скворец"
canary,"канарейка"
hazel grouse,"рябчик"
chaffinch,"зяблик"
bullfinch,"снегирь"
seagull,"чайка"
albatross,"альбатрос"
penguin,"пингвин"
