book,"книга"
author,"автор"
writer,"писатель"
to write,"писать"
reader,"читатель"
to read,"читать"
reading,"чтение"
silently,"про себя (читать)"
aloud,"вслух (читать)"
to publish,"издавать (книгу)"
publishing,"издание"
publisher,"издатель"
publishing house,"издательство"
to come out,"выйти (о книге)"
release,"релиз, выход (книги)"
print run,"тираж (книги)"
bookshop,"книжный магазин"
library,"библиотека"
story,"повесть"
short story,"рассказ"
novel,"роман"
detective novel,"детектив"
memoirs,"мемуары"
legend,"легенда"
myth,"миф"
autobiography,"автобиография"
selected works,"избранное"
science fiction,"научная фантастика"
title,"название"
