chess,"шахматы (игра)"
chessmen,"шахматные фигуры"
chess player,"шахматист"
chessboard,"шахматная доска"
pawn,"пешка (шахматы)"
bishop,"слон (шахматы)"
knight,"конь (шахматы)"
rook,"ладья (шахматы)"
queen,"ферзь (шахматы)"
king,"король (шахматы)"
move,"ход (шахматы)"
to move,"ходить (шахматы)"
to sacrifice,"пожертвовать (фигуру)"
castling,"рокировка (шахматы)"
check,"шах"
checkmate,"мат"
chess tournament,"шахматный турнир"
Grand Master,""гроссмейстер
combination,"комбинация"
game,"партия (шахматы)"
draughts,"шашки"
