actor,"актёр"
actress,"актриса"
film,"кино, фильм"
episode,"серия, эпизод (часть фильма)"
detective,"детектив"
action film,"боевик"
adventure film,"приключенческий фильм"
science fiction film,"фантастический фильм"
horror film,"фильм ужасов"
comedy film,"кинокомедия"
melodrama,"мелодрама"
drama,"драма"
fictional film,"художественный фильм"
documentary,"документальный фильм"
cartoon,"мультфильм"
silent films,"немое кино"
role,"роль"
leading role,"главная роль"
to play,"играть (роль)"
film star,"кинозвезда"
well-known,"известный"
famous,"знаменитый"
popular,"популярный"
script,"сценарий"
scriptwriter,"сценарист"
film director,"режиссёр"
producer,"продюсер"
assistant,"ассистент"
cameraman,"оператор"
stuntman,"каскадёр"
to shoot a film,"снимать фильм"
audition,"пробы"
shooting,"съёмки"
film crew,"съёмочная группа"
film set,"съёмочная площадка"
camera,"кинокамера"
cinema,"кинотеатр"
screen,"экран"
to show a film,"показывать фильм"
soundtrack,"звуковая дорожка"
special effects,"специальные эффекты"
subtitles,"субтитры"
credits,"титры (имена актёров)"
translation,"перевод"
