bream,"лещ"
carp,"карп"
perch,"окунь"
catfish,"сом"
pike,"щука"
salmon,"лосось"
sturgeon,"осётр"
herring,"сельд"
Atlantic salmon,"сёмга"
mackerel,"скумбрия"
flatfish,"камбала"
pike perch,"судак"
cod,"треска"
tuna,"тунец"
trout,"форель"
eel,"угорь"
electric ray,"электрический скат"
moray eel,"мурена"
piranha,"пиранья"
shark,"акула"
dolphin,"дельфин"
whale,"кит"
crab,"краб"
jellyfish,"медуза"
octopus,"осьминог"
starfish,"морская звезда"
sea urchin,"морской ёж"
seahorse,"морской конёк"
oyster,"устрица"
shrimp,"креветка"
lobster,"омар"
spiny lobster,"лангуст"
