politics,"политика"
political,"политический"
politician,"политик"
state,"государство"
citizen,"гражданин"
citizenship,"гражданство"
national emblem,"национальный герб"
national anthem,"государственный гимн"
government,"правительство"
head of state,"глава государства"
parliament,"парламент"
party,"партия"
capitalism,"капитализм"
capitalist,"капиталистический"
socialism,"социализм"
socialist,"социалистический"
communism,"коммунизм"
communist,"коммунистический, коммунист"
democracy,"демократия"
democrat,"демократ"
democratic,"демократический"
Democratic party,"демократическая партия"
liberal,"либерал, либеральный"
conservative,"консерватор, консервативный"
republic,"республика"
republican,"республиканец"
Republican party,"республиканская партия"
elections,"выборы"
to elect,"выбирать, избирать"
elector,"избиратель"
election campaign,"избирательная кампания"
voting,"голосование"
to vote,"голосовать"
right to vote,"право голоса"
candidate,"кандидат"
to be a candidate,"баллотироваться"
campaign,"кампания"
opposition,"оппозиция, оппозиционный"
visit,"визит"
official visit,"официальный визит"
international,"международный"
negotiations,"переговоры"
to negotiate,"вести переговоры"
