country house,"загородный дом"
villa,"вилла"
wing,"крыло (здания)"
garden,"сад"
park,"парк"
tropical glasshouse,"оранжерея"
to look after,"ухаживать (за садом)"
swimming pool,"бассейн"
gym,"тренажёрный зал"
tennis court,"теннисный корт"
home cinema room,"домашний кинотеатр"
garage,"гараж"
private property,"частная собственность"
private land,"частные владения"
warning,"предупреждение"
warning sign,"предупреждающая надпись"
security,"охрана"
security guard,"охранник"
burglar alarm,"сигнализация"
