to kiss,"целовать, целоваться"
family,"семья, семейный"
couple,"пара"
marriage,"брак (семейная жизнь)"
hearth,"домашний очаг"
dynasty,"династия"
date,"свидание"
kiss,"поцелуй"
love,"любовь"
to love,"любить (кого-л.)"
beloved,"любимый (человек)"
tenderness,"нежность"
tender,"нежный"
faithfulness,"верность"
faithful,"верный"
newlyweds,"молодожёны"
honeymoon,"медовый месяц"
to get married,"выйти замуж, жениться"
wedding,"свадьба"
golden wedding,"золотая свадьба"
anniversary,"годовщина"
lover,"любовник"
mistress,"любовница"
adultery,"измена"
to commit adultery,"изменить"
jealous,"ревнивый"
to be jealous,"ревновать"
divorce,"развод"
to divorce,"развестись"
to quarrel,"ссориться"
to be reconciled,"мириться"
together,"вместе"
sex,"секс"
happiness,"счастье"
happy,"счастливый"
misfortune,"несчастье"
unhappy,"несчастный"
