director,"директор"
manager,"управляющий"
boss,"руководитель, шеф"
superior,"начальник"
president,"президент"
chairman,"председатель"
deputy,"заместитель"
assistant,"помощник"
secretary,"секретарь"
personal assistant,"личный секретарь"
businessman,"бизнесмен"
entrepreneur,"предприниматель"
founder,"основатель"
to found,"основать"
incorporator,"учредитель"
partner,"партнёр"
shareholder,"акционер"
millionaire,"миллионер"
billionaire,"миллиардер"
owner,"владелец"
landowner,"землевладелец"
client,"клиент"
regular client,"постоянный клиент"
buyer,"покупатель"
visitor,"посетитель"
professional,"профессионал"
expert,"эксперт"
specialist,"специалист"
banker,"банкир"
broker,"брокер"
cashier,"кассир"
accountant,"бухгалтер"
security guard,"охранник"
investor,"инвестор"
debtor,"должник"
creditor,"кредитор"
borrower,"заёмщик"
importer,"импортёр"
exporter,"экспортёр"
manufacturer,"производитель"
distributor,"дистрибьютор"
middleman,"посредник"
consultant,"консультант"
representative,"представитель"
agent,"агент"
insurance agent,"страховой агент"
