road,"дорога"
way,"путь"
highway,"шоссе"
motorway,"автомагистраль"
trunk road,"национальная дорога"
main road,"главная дорога"
dirt road,"просёлочная дорога"
pathway,"тропа"
footpath,"тропинка"
Where?,"Где? Куда?"
Where from?,"Откуда?"
direction,"направление"
to point,"указать (направление)"
to the left,"налево"
to the right,"направо"
straight ahead,"прямо"
back,"назад"
bend,"поворот (место на дороге)"
to turn,"поворачивать"
to make a U-turn,"разворачиваться"
to be visible,"виднеться"
to appear,"показаться (появиться)"
stop,"остановка в пути"
to rest,"отдохнуть"
rest,"отдых"
to lose one's way,"заблудиться"
to lead to,"вести к (о дороге)"
to arrive at,"выйти к"
stretch,"отрезок пути"
asphalt,"асфальт"
border,"бордюр"
ditch,"канава"
manhole,"дорожный люк"
roadside,"обочина"
pit,"яма"
to go,"идти"
to overtake,"обогнать"
step,"шаг"
on foot,"пешком"
to block,"перегородить (дорогу)"
boom barrier,"шлагбаум"
dead end,"тупик"
