schoolboy,"школьник"
student,"студент"
philosopher,"философ"
economist,"экономист"
inventor,"изобретатель"
unemployed,"безработный (сущ.)"
pensioner,"пенсионер"
spy,"шпион"
prisoner,"заключённый"
striker,"забастовщик"
bureaucrat,"бюрократ"
traveller,"путешественник"
homosexual,"гомосексуал"
hacker,"хакер"
hippie,"хиппи"
bandit,"бандит"
hitman,"наёмный убийца"
drug addict,"наркоман"
drug dealer,"торговец наркотиками"
prostitute,"проститутка"
pimp,"сутенёр"
sorcerer,"колдун"
sorceress,"колдунья"
pirate,"пират"
slave,"раб"
samurai,"самурай"
savage,"дикарь"
