symptom,"смптом"
temperature,"температура"
fever,"высокая температура"
pulse,"пульс"
giddiness,"головокружение"
hot,"горячий (напр. лоб)"
shivering,"озноб"
pale,"бледный"
cough,"кашель"
to cough,"кашлять"
to sneeze,"чихать"
faint,"обморок"
to faint,"упасть в обморок"
bruise,"синяк"
bump,"шишка"
to bruise oneself,"удариться"
bruise,"ушиб"
to get bruised,"ушибиться"
to limp,"хромать"
dislocation,"вывих"
to dislocate,"вывихнуть"
fracture,"перелом"
to have a fracture,"получить перелом"
cut,"порез"
to cut oneself,"порезаться"
bleeding,"кровотечение"
burn,"ожог"
to burn oneself,"обжечься"
to prickle,"уколоть (поранить)"
to prickle oneself,"уколоться"
to injure,"повредить (поранить)"
injury,"повреждение (рана)"
wound,"рана"
trauma,"травма"
to be delirious,"бредить (мед.)"
to stutter,"заикаться"
sunstroke,"солнечный удар"
