respected,"уважаемый"
to respect,"уважать"
respect,"уважение"
Dear,"Уважаемый (в письме)"
to introduce,"познакомить"
to make acquaintance,"познакомиться (с кем-л.)"
intention,"намерение"
to intend,"намереваться"
wish,"пожелание"
to wish,"пожелать"
surprise,"удивление"
to surprise,"удивлять"
to be surprised,"удивляться"
to give,"дать"
to take,"взять"
to give back,"вернуть"
to return,"отдать"
to apologize,"извиняться"
apology,"извинение"
to forgive,"прощать"
to talk,"разговаривать"
to listen,"слушать"
to hear out,"выслушать"
to understand,"понять"
to show,"показать"
to look at,"глядеть на"
to call,"позвать"
to distract,"беспокоить (отвлечь от дел)"
to disturb,"мешать (беспокоить)"
to pass,"передать (подарок и т.п.)"
demand,"просьба, требование"
to request,"просить"
to demand,"требовать"
to tease,"дразнить (обзывать)"
to mock,"насмехаться"
mockery,"насмешка"
nickname,"прозвище"
allusion,"намёк"
to allude,"намекать"
to imply,"подразумевать"
