morning,"утро"
in the morning,"утром"
midday,"полдень"
in the afternoon,"после обеда"
evening,"вечер"
in the evening,"вечером"
night,"ночь"
at night,"ночью"
midnight,"полночь"
second,"секунда"
minute,"минута"
hour,"час"
half an hour,"полчаса"
quarter of an hour,"четверть часа"
fifteen minutes,"15 минут"
twenty four hours,"сутки"
sunrise,"восход солнца"
dawn,"рассвет"
early morning,"раннее утро"
sunset,"закат"
early in the morning,"рано утром"
this morning,"сегодня утром"
tomorrow morning,"завтра утром"
this afternoon,"сегодня днем"
in the afternoon,"после обеда"
tomorrow afternoon,"завтра после обеда"
tonight,"сегодня вечером"
tomorrow night,"завтра вечером"
at 3 o'clock sharp,"ровно в 3 часа"
about 4 o'clock,"около 4-х часов"
by 12 o'clock,"к 12-ти часам"
in 20 minutes,"через 20 минут"
in an hour,"через час"
on time,"вовремя"
a quarter to,"без четверти"
within an hour,"в течение часа"
every 15 minutes,"каждые 15 минут"
round the clock,"круглые сутки"
