weather,"погода"
weather forecast,"прогноз погоды"
temperature,"температура"
thermometer,"термометр"
barometer,"барометр"
humid,"влажный"
humidity,"влажность"
heat,"жара"
hot,"жаркий"
it's hot,"жарко (о погоде)"
it's warm,"тепло (о погоде)"
warm,"тёплый (день)"
it's cold,"холодно (о погоде)"
cold,"холодный"
sun,"солнце"
to shine,"светить (о солнце)"
sunny,"солнечный"
to come up,"взойти (о солнце)"
to set,"сесть (о солнце)"
cloud,"облако"
cloudy,"облачный"
rain cloud,"туча"
overcast,"пасмурный"
rain,"дождь"
it's raining,"идёт дождь"
rainy,"дождливый"
to drizzle,"моросить"
pouring rain,"проливной дождь"
downpour,"ливень"
heavy,"сильный (дождь)"
puddle,"лужа (на улице)"
to get wet,"промокнуть"
mist,"туман"
misty,"туманный"
snow,"снег"
it's snowing,"идёт снег"
