religion,"религия"
religious,"религиозный"
belief,"верование"
to believe,"верить (в бога)"
believer,"верующий"
atheism,"атеизм"
atheist,"атеист"
Christianity,"Христианство"
Christian,"христианин, христианский"
Catholicism,"Католицизм"
Catholic,"католик, католический"
Protestantism,"Протестантство"
Protestant Church,"Протестантская церковь"
Protestant,"протестант"
Orthodoxy,"Православие"
Orthodox Church,"Православная церковь"
Orthodox,"православный"
Presbyterianism,"Пресвитерианство"
Presbyterian Church,"Пресвитерианская церковь"
Presbyterian,"пресвитерианин"
Lutheranism,"Лютеранская церковь"
Lutheran,"лютеранин"
Baptist Church,"Баптизм"
Baptist,"баптист"
Anglican Church,"Англиканская церковь"
Anglican,"англиканин"
Mormonism,"Мормонство"
Mormon,"мормон"
Judaism,"Иудаизм"
Jew,"иудей"
Buddhism,"Буддизм"
Buddhist,"буддист"
Hinduism,"Индуизм"
Hindu,"индуист"
Islam,"Ислам"
Muslim,"мусульманин, мусульманский"
Shiism,"Шиизм"
Shiite,"шиит"
Sunni,"Суннизм"
Sunnite,"суннит"
